,orginal,proposed,old_section,new_sction,start_section,Final_section,Error,number hat
0,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",196.29895928369464,203.29644099905747,"{'regressor_1': 125.22267092100725, 'regressor_2': 297.3678705320033}","[5798, 4812]"
1,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",200.28453298774738,184.25547737983032,"{'regressor_1': 53.78290568654646, 'regressor_2': 339.68005266418834}","[5768, 4842]"
2,2,2,"[[3.6850749], [3.901043795666667]]","[[3.901043795666667], [4.332981587]]",223.91846163996232,231.7207476908577,"{'regressor_1': 75.13840597844978, 'regressor_2': 417.25921437397034}","[5754, 4856]"
3,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",225.19078548539116,210.00313298774742,"{'regressor_1': 71.89902359472589, 'regressor_2': 374.268937061494}","[5764, 4846]"
4,2,2,"[[3.6850648], [3.901029273666667]]","[[3.901029273666667], [4.332958221]]",205.6327134778511,212.78905457115926,"{'regressor_1': 95.84275854293148, 'regressor_2': 351.9418712074304}","[5765, 4845]"
5,2,2,"[[3.6850648], [3.901029273666667]]","[[3.901029273666667], [4.332958221]]",209.55230122525919,206.14064184731387,"{'regressor_1': 122.91693409051798, 'regressor_2': 306.9143375703271}","[5811, 4799]"
6,2,2,"[[3.6850932], [3.901048207]]","[[3.901048207], [4.332958221]]",220.65600782280865,211.74600122525922,"{'regressor_1': 58.275002776813615, 'regressor_2': 394.1510946782178}","[5762, 4848]"
7,2,2,"[[3.6850648], [3.901029273666667]]","[[3.901029273666667], [4.332958221]]",204.60043817153627,201.45090744580588,"{'regressor_1': 80.57903156981789, 'regressor_2': 345.27471847265224}","[5765, 4845]"
8,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",192.2598628652215,189.24717521206406,"{'regressor_1': 67.58871012482663, 'regressor_2': 334.1720051631557}","[5768, 4842]"
9,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",200.06410508953817,191.66666540999057,"{'regressor_1': 86.37035563258233, 'regressor_2': 317.19553057851243}","[5770, 4840]"
