,orginal,proposed,old_section,new_sction,start_section,Final_section
0,2,2,"[[3.6850648], [3.901029273666667]]","[[3.901029273666667], [4.332958221]]",190.64832919431277,174.97678663507108
1,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",163.71482246445495,156.72039194312796
2,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",184.83099611374408,173.47950473933648
3,2,2,"[[3.6850749], [3.901043795666667]]","[[3.901043795666667], [4.332981587]]",192.6171489099526,185.4299612322275
4,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",190.44881478672986,189.71204824644548
5,2,2,"[[3.6850648], [3.9010370623333332]]","[[3.9010370623333332], [4.332981587]]",185.6275653080569,175.42929412322275
6,2,2,"[[3.6850648], [3.9009958953333332]]","[[3.9009958953333332], [4.332858086]]",198.3508029383886,199.32433279620855
7,2,2,"[[3.6850648], [3.9009958953333332]]","[[3.9009958953333332], [4.332858086]]",185.11938341232226,171.90306265402845
8,2,2,"[[3.6850749], [3.901043795666667]]","[[3.901043795666667], [4.332981587]]",180.0359158293839,160.56115753554502
9,2,2,"[[3.6850648], [3.9009958953333332]]","[[3.9009958953333332], [4.332858086]]",193.79148445497628,173.43312255924172
10,3,2,"[[3.6850648], [3.84703815525, 4.009011510500001]]","[[3.84703815525], [4.009011510500001, 4.332958221]]",191.1934712796209,187.78423156398102
11,3,2,"[[3.6850648], [3.84704399675, 4.0090231935]]","[[3.84704399675], [4.0090231935, 4.332981587]]",165.11026398104264,160.2987076777251
12,3,2,"[[3.6850648], [3.84704399675, 4.0090231935]]","[[3.84704399675], [4.0090231935, 4.332981587]]",185.62308407582935,180.04282758293837
13,3,2,"[[3.6850749], [3.84705157175, 4.0090282434999995]]","[[3.84705157175], [4.0090282434999995, 4.332981587]]",191.8307756398104,196.91421412322273
14,3,2,"[[3.6850648], [3.84704399675, 4.0090231935]]","[[3.84704399675], [4.0090231935, 4.332981587]]",190.30488663507109,187.66202682464453
15,3,2,"[[3.6850648], [3.84704399675, 4.0090231935]]","[[3.84704399675], [4.0090231935, 4.332981587]]",187.52160407582937,187.48537042654033
16,3,2,"[[3.6850648], [3.8470131215, 4.0089614430000005]]","[[3.8470131215], [4.0089614430000005, 4.332858086]]",198.49597497630333,200.09997203791468
17,3,2,"[[3.6850648], [3.8470131215, 4.0089614430000005]]","[[3.8470131215], [4.0089614430000005, 4.332858086]]",183.14294454976306,179.38670872037918
18,3,2,"[[3.6850749], [3.84705157175, 4.0090282434999995]]","[[3.84705157175], [4.0090282434999995, 4.332981587]]",179.53965649289097,181.27502587677728
19,3,2,"[[3.6850648], [3.8470131215, 4.0089614430000005]]","[[3.8470131215], [4.0089614430000005, 4.332858086]]",192.55828559241706,189.95249042654027
20,4,2,"[[3.6850648], [3.8146434842000003, 4.0738008526, 3.9442221684]]","[[3.8146434842000003], [3.9442221684, 4.332958221, 4.0738008526]]",191.07861004739337,187.6205889099526
21,4,2,"[[3.6850648], [3.8146481574, 4.0738148722, 3.9442315148000002]]","[[3.8146481574], [3.9442315148000002, 4.332981587, 4.0738148722]]",163.13166587677728,163.1264450236967
22,4,2,"[[3.6850648], [3.8146481574, 4.0738148722, 3.9442315148000002]]","[[3.8146481574], [3.9442315148000002, 4.332981587, 4.0738148722]]",186.08425014218008,182.48765099526065
23,4,2,"[[3.6850749], [3.8146562374, 4.0738189122, 3.9442375748]]","[[3.8146562374], [3.9442375748, 4.332981587, 4.0738189122]]",193.74417327014217,186.54563450236967
24,4,2,"[[3.6850648], [3.8146481574, 4.0738148722, 3.9442315148000002]]","[[3.8146481574], [3.9442315148000002, 4.332981587, 4.0738148722]]",190.98469052132702,183.5962292890995
25,4,2,"[[3.6850648], [3.8146481574, 4.0738148722, 3.9442315148000002]]","[[3.8146481574], [3.9442315148000002, 4.332981587, 4.0738148722]]",186.0396491943128,182.63349943127963
26,4,2,"[[3.6850648], [3.8146234572, 4.0737407716, 3.9441821144]]","[[3.8146234572], [3.9441821144, 4.332858086, 4.0737407716]]",198.1783409478673,195.4639384834123
27,4,2,"[[3.6850648], [3.8146234572, 4.0737407716, 3.9441821144]]","[[3.8146234572], [3.9441821144, 4.332858086, 4.0737407716]]",182.41322293838863,181.3188681516588
28,4,2,"[[3.6850749], [3.8146562374, 4.0738189122, 3.9442375748]]","[[3.8146562374], [3.9442375748, 4.332981587, 4.0738189122]]",181.12681687203792,175.81787232227487
29,4,2,"[[3.6850648], [3.8146234572, 4.0737407716, 3.9441821144]]","[[3.8146234572], [3.9441821144, 4.332858086, 4.0737407716]]",192.60412218009478,190.0345114691943
30,5,2,"[[3.6850648], [3.7930470368333333, 4.116993747333334, 3.901029273666667, 4.009011510500001]]","[[3.7930470368333333], [3.901029273666667, 4.332958221, 4.009011510500001, 4.116993747333334]]",191.31938104265404,194.687497914692
31,5,2,"[[3.6850648], [3.793050931166667, 4.117009324666666, 3.9010370623333332, 4.0090231935]]","[[3.793050931166667], [3.9010370623333332, 4.332981587, 4.0090231935, 4.117009324666666]]",165.12779886255922,166.36730890995258
32,5,2,"[[3.6850648], [3.793050931166667, 4.117009324666666, 3.9010370623333332, 4.0090231935]]","[[3.793050931166667], [3.9010370623333332, 4.332981587, 4.0090231935, 4.117009324666666]]",184.00056331753552,184.3257850236967
33,5,2,"[[3.6850749], [3.793059347833333, 3.901043795666667, 4.0090282434999995]]","[[3.793059347833333], [3.901043795666667, 4.0090282434999995, 4.117012691333334]]",191.73821042654026,194.7481141232228
34,5,2,"[[3.6850648], [3.793050931166667, 4.117009324666666, 3.9010370623333332, 4.0090231935]]","[[3.793050931166667], [3.9010370623333332, 4.332981587, 4.0090231935, 4.117009324666666]]",189.53624843601895,192.2827167772512
35,5,2,"[[3.6850648], [3.793050931166667, 4.117009324666666, 3.9010370623333332, 4.0090231935]]","[[3.793050931166667], [3.9010370623333332, 4.332981587, 4.0090231935, 4.117009324666666]]",186.89149914691944,188.5928448341232
36,5,2,"[[3.6850648], [3.793030347666667, 3.9009958953333332, 4.0089614430000005]]","[[3.793030347666667], [3.9009958953333332, 4.0089614430000005, 4.116926990666666]]",199.65301800947867,200.19111260663504
37,5,2,"[[3.6850648], [3.793030347666667, 4.116926990666666, 3.9009958953333332, 4.0089614430000005]]","[[3.793030347666667], [3.9009958953333332, 4.332858086, 4.0089614430000005, 4.116926990666666]]",184.27653819905214,188.51269819905215
38,5,2,"[[3.6850749], [3.793059347833333, 4.117012691333334, 3.901043795666667, 4.0090282434999995]]","[[3.793059347833333], [3.901043795666667, 4.332981587, 4.0090282434999995, 4.117012691333334]]",179.983856492891,180.8545393364929
39,5,2,"[[3.6850648], [3.793030347666667, 4.116926990666666, 3.9009958953333332, 4.0089614430000005]]","[[3.793030347666667], [3.9009958953333332, 4.332858086, 4.0089614430000005, 4.116926990666666]]",193.27810947867303,196.44845203791468
40,6,2,"[[3.6850648], [3.777621003, 3.962733409, 3.870177206]]","[[3.777621003], [3.870177206, 4.055289612, 3.962733409]]",192.77207165876774,193.3705909004739
41,6,2,"[[3.6850648], [3.777624341, 3.962743423, 3.870183882]]","[[3.777624341], [3.870183882, 4.055302964, 3.962743423]]",165.90825734597158,165.57422199052132
42,6,2,"[[3.6850648], [3.777624341, 3.962743423, 3.870183882]]","[[3.777624341], [3.870183882, 4.055302964, 3.962743423]]",185.4609898578199,185.9167920379147
43,6,2,"[[3.6850749], [3.7776329981428574, 3.9627491944285715, 3.8701910962857142]]","[[3.7776329981428574], [3.8701910962857142, 4.055307292571428, 3.9627491944285715]]",191.12487279620848,190.1892013270142
44,6,2,"[[3.6850648], [3.777624341, 3.962743423, 3.870183882]]","[[3.777624341], [3.870183882, 4.055302964, 3.962743423]]",190.12842199052133,189.90377725118486
45,6,2,"[[3.6850648], [3.777624341, 3.962743423, 3.870183882]]","[[3.777624341], [3.870183882, 4.055302964, 3.962743423]]",185.1531767772512,185.19568663507107
46,6,2,"[[3.6850648], [3.777606698, 3.9626904940000003, 3.870148596]]","[[3.777606698], [3.870148596, 4.055232392, 3.9626904940000003]]",198.8139924170616,198.82975649289102
47,6,2,"[[3.6850648], [3.777606698, 3.9626904940000003, 3.870148596]]","[[3.777606698], [3.870148596, 4.055232392, 3.9626904940000003]]",182.897183507109,182.13051071090047
48,6,2,"[[3.6850749], [3.7776329981428574, 3.9627491944285715, 3.8701910962857142]]","[[3.7776329981428574], [3.8701910962857142, 4.055307292571428, 3.9627491944285715]]",182.4416733649289,182.53510701421797
49,6,2,"[[3.6850648], [3.777606698, 3.9626904940000003, 3.870148596]]","[[3.777606698], [3.870148596, 4.055232392, 3.9626904940000003]]",192.6540778199052,191.93960881516585
50,7,2,"[[3.6850648], [3.766051477625, 3.9280248328750003, 4.009011510500001, 3.84703815525]]","[[3.766051477625], [3.84703815525, 4.009011510500001, 4.0899981881250005, 3.9280248328750003]]",189.72675478672983,190.31699402843603
51,7,2,"[[3.6850648], [3.766054398375, 3.928033595125, 4.0090231935, 3.84704399675]]","[[3.766054398375], [3.84704399675, 4.0090231935, 4.090012791875, 3.928033595125]]",165.1462062559242,165.3817830331754
52,7,2,"[[3.6850648], [3.766054398375, 3.928033595125, 4.0090231935, 3.84704399675]]","[[3.766054398375], [3.84704399675, 4.0090231935, 4.090012791875, 3.928033595125]]",185.73479469194314,186.38903545023697
53,7,2,"[[3.6850749], [3.766063235875, 3.928039907625, 4.0090282434999995, 3.84705157175]]","[[3.766063235875], [3.84705157175, 4.0090282434999995, 4.090016579375, 3.928039907625]]",192.25547800947868,192.58555848341234
54,7,2,"[[3.6850648], [3.766054398375, 3.928033595125, 4.0090231935, 3.84704399675]]","[[3.766054398375], [3.84704399675, 4.0090231935, 4.090012791875, 3.928033595125]]",191.9525897630332,192.24627440758294
55,7,2,"[[3.6850648], [3.766054398375, 3.928033595125, 4.0090231935, 3.84704399675]]","[[3.766054398375], [3.84704399675, 4.0090231935, 4.090012791875, 3.928033595125]]",188.40741668246446,189.71961924170617
56,7,2,"[[3.6850648], [3.76603896075, 3.92798728225, 4.0089614430000005, 3.8470131215]]","[[3.76603896075], [3.8470131215, 4.0089614430000005, 4.08993560375, 3.92798728225]]",200.13509516587675,200.23415696682463
57,7,2,"[[3.6850648], [3.76603896075, 3.92798728225, 4.0089614430000005, 3.8470131215]]","[[3.76603896075], [3.8470131215, 4.0089614430000005, 4.08993560375, 3.92798728225]]",184.14387687203794,185.9215920379147
58,7,2,"[[3.6850749], [3.766063235875, 3.928039907625, 4.0090282434999995, 3.84705157175]]","[[3.766063235875], [3.84705157175, 4.0090282434999995, 4.090016579375, 3.928039907625]]",180.4565783886256,180.98568293838863
59,7,2,"[[3.6850648], [3.76603896075, 3.92798728225, 4.0089614430000005, 3.8470131215]]","[[3.76603896075], [3.8470131215, 4.0089614430000005, 4.08993560375, 3.92798728225]]",192.33090663507107,192.0954183886256
60,8,2,"[[3.6850648], [3.757052957888889, 3.901029273666667, 4.045005589444445, 3.8290411157777777, 3.9730174315555558]]","[[3.757052957888889], [3.8290411157777777, 3.9730174315555558, 4.116993747333334, 3.901029273666667, 4.045005589444445]]",189.31914995260664,189.18609526066354
61,8,2,"[[3.6850648], [3.757055554111111, 3.9010370623333332, 3.8290463082222224, 4.0450185705555555]]","[[3.757055554111111], [3.8290463082222224, 3.9730278164444446, 3.9010370623333332, 4.117009324666666]]",164.99275744075828,164.32716104265404
62,8,2,"[[3.6850648], [3.757055554111111, 3.9010370623333332, 4.0450185705555555, 3.8290463082222224, 3.9730278164444446]]","[[3.757055554111111], [3.8290463082222224, 3.9730278164444446, 4.117009324666666, 3.9010370623333332, 4.0450185705555555]]",186.05676682464454,185.81432018957344
63,8,2,"[[3.6850749], [3.757064531888889, 3.901043795666667, 3.8290541637777777]]","[[3.757064531888889], [3.8290541637777777, 3.9730334275555554, 3.901043795666667]]",192.10371099526068,192.05867630331758
64,8,2,"[[3.6850648], [3.757055554111111, 3.9010370623333332, 3.8290463082222224, 4.0450185705555555]]","[[3.757055554111111], [3.8290463082222224, 3.9730278164444446, 3.9010370623333332, 4.117009324666666]]",190.44700919431276,189.9472483412322
65,8,2,"[[3.6850648], [3.757055554111111, 3.9010370623333332, 3.8290463082222224, 4.0450185705555555]]","[[3.757055554111111], [3.8290463082222224, 3.9730278164444446, 3.9010370623333332, 4.117009324666666]]",186.44568710900472,186.81333507109005
66,8,2,"[[3.6850648], [3.757041831777778, 3.9009958953333332, 3.8290188635555555, 4.044949958888889]]","[[3.757041831777778], [3.8290188635555555, 3.972972927111111, 3.9009958953333332, 4.116926990666666]]",198.0054087203791,198.20414189573458
67,8,2,"[[3.6850648], [3.757041831777778, 3.9009958953333332, 3.8290188635555555, 4.044949958888889]]","[[3.757041831777778], [3.8290188635555555, 3.972972927111111, 3.9009958953333332, 4.116926990666666]]",184.8180190521327,186.15409696682465
68,8,2,"[[3.6850749], [3.757064531888889, 3.901043795666667, 3.8290541637777777, 4.0450230594444445]]","[[3.757064531888889], [3.8290541637777777, 3.9730334275555554, 3.901043795666667, 4.117012691333334]]",181.01869829383884,181.0097262559242
69,8,2,"[[3.6850648], [3.757041831777778, 3.9009958953333332, 3.8290188635555555, 4.044949958888889]]","[[3.757041831777778], [3.8290188635555555, 3.972972927111111, 3.9009958953333332, 4.116926990666666]]",193.75129658767773,192.84638957345973
70,9,2,"[[3.6850648], [3.7498541421000002, 3.9442221684, 3.8794328263, 4.0738008526, 3.8146434842000003]]","[[3.7498541421000002], [3.8146434842000003, 4.009011510500001, 3.9442221684, 4.1385901947, 3.8794328263]]",193.10850834123224,192.39645943127965
71,9,2,"[[3.6850648], [3.7498564787, 3.8146481574, 4.0738148722, 3.8794398361]]","[[3.7498564787], [3.8146481574, 3.8794398361, 4.1386065509, 3.9442315148000002]]",165.1359075829384,164.67980672985783
72,9,2,"[[3.6850648], [3.7498564787, 3.9442315148000002, 3.8794398361, 4.0738148722, 3.8146481574]]","[[3.7498564787], [3.8146481574, 4.0090231935, 3.9442315148000002, 4.1386065509, 3.8794398361]]",185.6981237914692,185.69571308056874
73,9,2,"[[3.6850749], [3.7498655687, 3.9442375748, 3.8794469061, 3.8146562374]]","[[3.7498655687], [3.8146562374, 4.0090282434999995, 3.9442375748, 3.8794469061]]",191.57268938388628,191.17061431279623
74,9,2,"[[3.6850648], [3.7498564787, 3.9442315148000002, 3.8794398361, 4.0738148722, 3.8146481574]]","[[3.7498564787], [3.8146481574, 4.0090231935, 3.9442315148000002, 4.1386065509, 3.8794398361]]",190.72345639810425,190.97137421800946
75,9,2,"[[3.6850648], [3.7498564787, 3.9442315148000002, 3.8794398361, 3.8146481574]]","[[3.7498564787], [3.8146481574, 4.0090231935, 3.9442315148000002, 3.8794398361]]",187.18674635071088,187.31957630331752
76,9,2,"[[3.6850648], [3.7498441286, 3.9441821144, 3.8794027858, 4.0737407716, 3.8146234572]]","[[3.7498441286], [3.8146234572, 4.0089614430000005, 3.9441821144, 4.1385201002, 3.8794027858]]",198.89715260663507,198.8970548815166
77,9,2,"[[3.6850648], [3.7498441286, 3.9441821144, 3.8794027858, 3.8146234572]]","[[3.7498441286], [3.8146234572, 4.0089614430000005, 3.9441821144, 3.8794027858]]",185.6266612322275,186.79559118483414
78,9,2,"[[3.6850749], [3.7498655687, 3.9442375748, 3.8794469061, 3.8146562374]]","[[3.7498655687], [3.8146562374, 4.0090282434999995, 3.9442375748, 3.8794469061]]",180.5002698578199,180.330187014218
79,9,2,"[[3.6850648], [3.7498441286, 3.9441821144, 3.8794027858, 4.0737407716, 3.8146234572]]","[[3.7498441286], [3.8146234572, 4.0089614430000005, 3.9441821144, 4.1385201002, 3.8794027858]]",192.87024303317534,192.31776018957345
80,10,2,"[[3.6850648], [3.743964201909091, 3.920662407636364, 4.097360613363636, 3.802863603818182, 4.038461211454545]]","[[3.743964201909091], [3.802863603818182, 3.9795618095454546, 4.156260015272728, 3.8617630057272727, 4.097360613363636]]",189.95400483412323,192.0035028436019
81,10,3,"[[3.6850648], [3.7439663260909093, 3.9206709043636363, 3.9795724304545455, 3.861769378272727], [3.8028678521818184]]","[[3.7439663260909093], [3.8028678521818184, 3.9795724304545455, 4.038473956545454, 3.9206709043636363], [3.861769378272727]]",165.3721415165877,165.85455412322275
82,10,4,"[[3.6850648], [3.7439663260909093, 3.9206709043636363, 4.097375482636363], [3.8028678521818184, 3.9795724304545455], [3.861769378272727]]","[[3.7439663260909093], [3.8028678521818184, 3.9795724304545455, 4.1562770087272725], [3.861769378272727, 4.038473956545454], [3.9206709043636363]]",184.37896312796207,187.59971668246445
83,10,2,"[[3.6850749], [3.743975507909091, 3.9206773316363637, 4.038478547454545, 3.9795779395454547, 3.8028761158181816]]","[[3.743975507909091], [3.8028761158181816, 3.9795779395454547, 4.097379155363637, 4.038478547454545, 3.8617767237272727]]",192.4190102369668,194.9452486255924
84,10,3,"[[3.6850648], [3.7439663260909093, 3.9206709043636363, 3.9795724304545455, 3.861769378272727], [3.8028678521818184]]","[[3.7439663260909093], [3.8028678521818184, 3.9795724304545455, 4.038473956545454, 3.9206709043636363], [3.861769378272727]]",191.30942521327015,193.3708616113744
85,10,2,"[[3.6850648], [3.7439663260909093, 3.9206709043636363, 4.097375482636363, 3.8028678521818184, 3.9795724304545455]]","[[3.7439663260909093], [3.8028678521818184, 3.9795724304545455, 4.1562770087272725, 3.861769378272727, 4.038473956545454]]",185.80581535545028,188.3114973459716
86,10,3,"[[3.6850648], [3.7439550987272727, 3.920625994909091, 4.097296891090909], [3.8028453974545458, 3.8617356961818183, 3.9795162936363635, 4.0384065923636365]]","[[3.7439550987272727], [3.8028453974545458, 3.9795162936363635, 4.156187189818182], [3.8617356961818183, 3.920625994909091, 4.0384065923636365, 4.097296891090909]]",198.7032429383886,201.26993649289102
87,10,2,"[[3.6850648], [3.7439550987272727, 3.920625994909091, 4.097296891090909, 3.8617356961818183, 3.8028453974545458]]","[[3.7439550987272727], [3.8028453974545458, 3.9795162936363635, 4.156187189818182, 3.920625994909091, 3.8617356961818183]]",184.5946812322275,187.67783033175357
88,10,3,"[[3.6850749], [3.743975507909091, 3.9206773316363637, 4.097379155363637], [3.8028761158181816, 3.8617767237272727, 3.9795779395454547, 4.038478547454545]]","[[3.743975507909091], [3.8028761158181816, 3.9795779395454547, 4.156279763272727], [3.8617767237272727, 3.9206773316363637, 4.038478547454545, 4.097379155363637]]",180.20262227488155,183.17341857819906
89,10,2,"[[3.6850648], [3.7439550987272727, 3.920625994909091, 4.097296891090909, 3.8617356961818183, 3.8028453974545458]]","[[3.7439550987272727], [3.8028453974545458, 3.9795162936363635, 4.156187189818182, 3.920625994909091, 3.8617356961818183]]",192.76310966824644,196.50138066350712
90,11,3,"[[3.6850648], [3.7390559184166667, 3.901029273666667, 4.063002628916667, 4.116993747333334, 3.7930470368333333], [3.84703815525, 3.9550203920833336]]","[[3.7390559184166667], [3.7930470368333333, 3.9550203920833336, 4.116993747333334, 4.17098486575, 3.84703815525], [3.901029273666667, 4.009011510500001]]",191.44229895734603,191.74274331753554
